car_make,model,year,transmition,kilometers,car_customs,fuel,engine_size,payment method,price
Honda,CR-V,2018,Automatic,"30,000 - 39,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Tesla,3,2019,Automatic,"60,000 - 69,999",With Customs,Electric,70 - 89 kWh,Cash Only,"18,350 JOD"
Tesla,3,2022,Automatic,"50,000 - 59,999",With Customs,Electric,70 - 89 kWh,Cash Only,"23,850 JOD"
Tesla,3,2022,Automatic,"20,000 - 29,999",With Customs,Electric,70 - 89 kWh,Cash Only,"21,950 JOD"
Tesla,Y,2021,Automatic,"10,000 - 19,999",Without Customs,Electric,70 - 89 kWh,Cash Only,"29,500 JOD"
Tesla,3,2021,Automatic,"10,000 - 19,999",With Customs,Electric,70 - 89 kWh,Cash Only,"21,500 JOD"
Tesla,Y,2021,Automatic,"50,000 - 59,999",With Customs,Electric,70 - 89 kWh,Cash Only,"25,950 JOD"
Mercedes Benz,E 200,2012,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"24,000 JOD"
Land Rover,Range Rover Sport,2022,Automatic,"20,000 - 29,999",With Customs,Plug-in - Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Land Rover,Defender 110,2023,Automatic,0,With Customs,Mild Hybrid,"3,000 - 3,999 cc",Cash or Installments,N/A
BMW,735,2023,Automatic,"1,000 - 9,999",With Customs,Mild Hybrid,"3,000 - 3,999 cc",Cash or Installments,N/A
Kia,Optima K5,2020,Automatic,"90,000 - 99,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"20,500 JOD"
Hyundai,Ioniq,2017,Automatic,"110,000 - 119,999",With Customs,Electric,Less than 50 kWh,Cash Only,"12,450 JOD"
Hyundai,Avante,2007,Automatic,"170,000 - 179,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,250 JOD"
Toyota,Corolla,2016,Automatic,"80,000 - 89,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"11,900 JOD"
BYD,Qin,2023,Automatic,0,With Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Mercedes Benz,C 180,2022,Automatic,"10,000 - 19,999",With Customs,Mild Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Honda,e:NS1,2023,Automatic,0,With Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
MINI,Cooper S,2021,Automatic,"10,000 - 19,999",With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Nissan,Sylphy,2019,Automatic,"70,000 - 79,999",With Customs,Electric,Less than 50 kWh,Cash Only,"10,800 JOD"
Toyota,Camry,2015,Automatic,"150,000 - 159,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Honda,Civic,2004,Automatic,"10,000 - 19,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,850 JOD"
Volkswagen,ID.4,2021,Automatic,"20,000 - 29,999",With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Changan,E-Star,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Kia,Forte,2009,Automatic,"190,000 - 199,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,600 JOD"
Changan,E-Star,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash Only,
Changan,E-Star,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash Only,
Changan,E-Star,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash Only,
Changan,E-Star,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash Only,
